fund,start_year,end_year,beneficiary_name,project_name,total_amount,county
ERDF,01.01.2011,31.03.2017,UL Structured PhD programme in Earth & Natural Science ( ESI-ENS ),"The project ESI PhD programme creates a cohort of graduates with a strong background in Energy and Environmental studies, imbued with the innovation and entrepreneurial skills to develop an emerging green technology sector",416288.99,Limerick City
ERDF,01.01.2011,31.03.2017,UL Integrated NanoScience Platform for Ireland (INSPIRE),"The INSPIRE consortium has established a structured PhD programme building upon the established research infrastructure, providing high-quality graduate training in fulfilment of the INSPIRE vision_x000D_",258345.47,Limerick City
ERDF,01.01.2011,31.03.2017,UL  National Centre for Applied Materials Research ( NCAMR ),"Project aim is to develop research programmes, specifically in pharmaceutical and composite materials, which will assist in future knowledge transfer and position Ireland as a preferred location for further investment and employment. NCAMR supports the expansion of the SFI-SRC in Solid State Pharmaceuticals to form an internationally established centre of excellence on all aspects of the formation of pharmaceutical materials",159929.25,Limerick City
ERDF,01.01.2007,31.12.2015,UL Research Equipment Renewal Grant,"Various equipment items for key research areas identified in the HEA/Forfas Research Infrastructure Review 'Research Infrastruture in Ireland - Building for Tomorrow.' Published in 2007.  _x000D_
Areas: ICT; Food and Health; Bioscience, Environment and Bioengineering; Engineering; Materials and Surface Science; Pharmaceuticals.",2006284.17,Limerick City
ERDF,01.01.2007,31.12.2015,MIC RERG,Various equipment items for key research areas identified in the HEA/Forfas Research Infrastructure Review 'Research Infrastructure in Ireland - Building for Tomorrow.' Published in 2007. Items include: Psychophyiological Research Laboratory Suite;  Wireless group response system; Stereomicroscope.,287644.54,Limerick City
ERDF,01.03.2012,31.12.2017,Smarter Travel Limerick,"Sustainable transport project to encourage more people to walk, cycle or use public transport as a means of travelling to work or education, thus reducing reliance on vehicles and use of fossil fuels in Limerick City.",5526378.29,Limerick City
ERDF,28.05.2009,11.12.2009,High St. Medical Centre,Fitting of heat tube system. 50 no. on roof stand. Approx size gross 8.26sq.m and 300L storage tank. Rezoning of existing heating system,5660,Limerick County
ERDF,09.07.2009,15.12.2009,Tommy Liston,Installation of 2.6 sq m of evacuated tube solar collectors.,4405.29,Limerick County
ERDF,11.08.2008,23.12.2008,Bawnmore Housing Association Ltd,1 No 17.5 Geothermal heat Pump will provide two thirds of the heating load for the building and will provide domestic hot water supply as a priority._x000D_,14894.6,Limerick County
ERDF,30.04.2008,27.02.2009,St. Joseph's Foundation,Solar Thermal collector for dwelling house to heat power_x000D_,6300,Limerick County
ERDF,29.11.2007,31.07.2008,R&M Fitzgerald T/A Fitzgerald Woodlands House Hotel & Spa,"Install 44.88 sp m evacuated tube solar collector at Adare, Co. Limerick",40000,Limerick County
ERDF,08.01.2008,31.03.2008,Denis Holmes Fitted Kitchens,"Installation of a 90 kW wood chip/ wood pellet boiler at Murroe, Co. Limerick",32685,Limerick County
ERDF,27.09.2007,31.03.2008,Deebert House Hotel Partnership,To use a 150kw wood pellet boiler to provide the primary hot water and space heating for a new hotel. The move away from a dependency on fossil fuels is consistent with the hotels environmental philosophy. _x000D_,57302.73,Limerick County
ERDF,03.09.2008,31.10.2008,Glin Homes for the Elderly Ltd,To install solar panels (8sq m of evacuated tube solar collectors) in the day care centre at Glin Homes for the Elderly in order to reduce dependency on electricity/gas for the centres hot water and heating bearing in mind environmental concerns and with a view to medium and long term savings ,12632,Limerick County
ERDF,08.06.2009,11.05.2010,Cappamore GAA Club,Installation of solar direct hot water system in dressing rooms of sports club (shower areas). replacing existing electric heating of water,9124.35,Limerick County
ERDF,24.04.2008,27.02.2009,David Cuddy,It is proposed to install a geothermal heat pump to heat offices and circulation areas and to heat domestic hot water.  The heat pump will reduce the heating bill & reduce the carbonfoot print of the building_x000D_,18632.93,Limerick County
ERDF,04.05.2007,31.10.2008,Paul Murphy,Feasibility study in consideration of biomass boilers for the development of 137 houses.,4500,Limerick County
ERDF,01.04.2007,30.07.2007,PJ & Noel Noonan T/A University Business Complex,"The Noonan Office & Leisure Complex is a brownfield site building development at Limerick University Business Park with a single building footprint of over 30,000m2 providing office space, data centre facilities, an indoor golf range and, storage facilitie_x000D_",305000,Limerick County
ERDF,01.08.2008,31.03.2009,Milford Care Centre,Installation of 1 no. ENER.G 100 CHP Unit and Peripheral equipment. CHP will be installed to reduce energy/environmental costs & requirements on site_x000D_,133277.63,Limerick County
ERDF,25.03.2010,26.11.2010,Doon GAA Club,Installation of 16m2 of flat plate solar panels.,12879.43,Limerick County
ERDF,27.09.2010,24.03.2011,Glenstal Abbey,Installation of 21.53 m2 evacuated tube solar panels.,17538.82,Limerick County
ERDF,22.10.2010,21.12.2010,Hanrahan Farms Ltd,Installation of 84 kW heat pump.,85070,Limerick County
ERDF,17.06.2010,10.12.2010,McDonnell Farms Biogas Limited,Installation of a 350 kWe 263Kwt AD CHP plant,438850,Limerick County
ERDF,23.10.2007,14.12.2007,AHP Manufacturing BV T/A Wyeth Medica Ireland,The grantee will install a heat exchanger,142060,Limerick County
ERDF,26.07.2012,11.12.2012,Mowlam Healthcare Ltd,"Retrofit Heating systems in 12 Nursing Homes, Installing Air to Water heat Pumps, creating a hybrid heating system by retaining or installing high efficiency condensing boilers in conjunction with the heat pumps, installing heating system controls, web-based monitoring & reporting of energy use & installing heat exchangers.",274161.31,Limerick County
ERDF,25.10.2013,16.12.2013,Micromix t/a Key Ingredients-BA,Manufacture of spices and sauces for the wholesale food sector.,40000,Limerick County
ERDF,22.10.2013,,Ponaire-Priming,"Coffee Roasting business, the busines has it own roastery based in Annacotty.",10208,Limerick County
ERDF,16.09.2013,,Post Operative Clothing Company-Priming,"Measurement, supply and fit service of bras for women who have had breat cancer and reconstructive surgery.",3750,Limerick County
ERDF,16.09.2013,,The Global Sauce Company-Priming,Manufacture of sauces for the wholesale food sector.,109298.72,Limerick County
ERDF,17.06.2008,31.03.2009,Ardmulchan Stud,the grantee will install a 150kW wood chip boiler,98384.87,Meath
ERDF,08.01.2009,30.06.2009,Colwells Pub,"to heat hot water - new 300L Solar cylinder, 3.68sq m evacuated tube solar collector installation._x000D_",4665,Meath
ERDF,29.11.2007,31.10.2008,Mid Cork Pallets and Packaging Ltd.,Feasibility study on using wood fired heating system in corrugated packaging warehouses.,10750,Meath
ERDF,15.03.2007,15.04.2007,Therese Foster & Ciaran Buckley,Install a woodchip/wood pellet system to heat and provide hot water for three holiday apartments for agri-tourism._x000D_,23268.92,Meath
ERDF,10.12.2008,26.06.2009,Little Rascals,Installation of 10 sq.m of flat plate solar collectors to supply hot water supply to new build childcare facility for 144 children_x000D_,8634.3,Meath
ERDF,28.05.2008,31.07.2008,The Forge Restaurant,Resolutions aims to reduce the restaurants dependency upon fossil fuels by installing a sufficient quantity of evacuated solar tubes to provide ample hot water for their needs._x000D_,5643.86,Meath
ERDF,15.02.2007,29.01.2008,Beechwood Lodge Self Catering Holiday Homes,"We have a house and six self catering apartments using gas, oil and electric heating.  We intend installing a woodchip heating system.  We intend using woodchips made from waste from our 12 hectare forest.",46183.92,Meath
ERDF,15.10.2007,01.06.2010,Trim Sports & Leisure Company,Installation of 1 no. ENER G 125 CHP unit and peripheral equipment. CHP unit to be installed to reduce energy costs and energy requirements on site_x000D_,69147,Meath
ERDF,21.04.2010,21.12.2010,Sunshine Community Childcare,Installation of 20.2 kW heatpump,21080.04,Meath
ERDF,19.01.2010,03.06.2010,Michael O'Keeffe,Installation of a 20kW biomass boiler.,25250,Meath
ERDF,23.07.2009,16.03.2010,Wellman International Ltd,Technical & Economic Feasability Study regarding the installation of a CHP Plant in fibre manufacturing Plant.,9800,Meath
ERDF,13.07.2012,24.12.2012,Largo Food Exports Ltd,"Installation of gas CHP plant, new energy mgmt system, vehicle tracking devices. Motor control and lighting upgrades.",287254.67,Meath
ERDF,08.08.2012,07.03.2013,Athgaine Mushrooms Ltd,"Fabric upgrades, Tunnel door rdaught proofing measures, Piping and insulation upgrades, Air Handling Unit replacements, Pump and VSD installation, Water saving Nozzles, Driver Training, Lighting upgrade of the tunnels.",436971.25,Meath
ERDF,15.08.2012,11.12.2012,Kepak Clonee,"Installation of Energy Efficient Lighting, Vacuum Pump and Refrigeration compressor inverters, Insulation of Tallow Tanks and Fat Plant Heat Recovery.",59302.62,Meath
ERDF,16.07.2012,13.12.2012,Boliden tara Mines Ltd,"Biodiesel enabling project, Upgrade of Stores buildings heating, Install evacuated tube solar collectors on the Mill roof and associated solar thermal equipment.",201505,Meath
ERDF,30.08.2011,09.12.2011,Boliden Tara Mines Ltd,"Upgrade external insulation, replace existing lighting with more energy efficient lighting and install new stainless steel pipework to connect compressor and air receiver to the metso filler and reconfigure metso filter operation",126949.54,Meath
